id,IATA,en-GB,latitude,longitude,vibes,country
144763782,LFQ,Linfen Qiaoli,36.041944,111.492222,,China
129055581,LFR,La Fria,8.240556,-72.272222,,Venezuela
95673996,LFT,Lafayette,30.204722,-91.9875,,United States
104120235,LFW,Lome,6.1625,1.254167,,Togo
95565057,LGA,New York LaGuardia,40.779444,-73.875833,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",United States
95673371,LGB,Long Beach Municipal,33.8175,-118.151111,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",United States
129055141,LGC,La Grange,33.0075,-85.070833,,United States
129053604,LGD,La Grande,45.289722,-118.005,,United States
129056238,LGE,Lake Gregory,-20.133333,127.566667,,Australia
129052201,LGF,Yuma Laguna AAF,32.716667,-114.616667,,United States
95566275,LGG,Liege,50.636111,5.441667,,Belgium
129055701,LGH,Leigh Creek,-30.466667,138.416667,,Australia
128667570,LGI,Deadmans Cay,23.179444,-75.090556,,Bahamas
95673999,LGK,Langkawi,6.333333,99.733333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}",Malaysia
128667489,LGL,Long Lellang,3.421847,115.154057,,Malaysia
129054940,LGM,Laiagam,-4.333333,145.416667,,Papua New Guinea
129057996,LGN,Linga Linga,-5.683333,149.416667,,Papua New Guinea
129054031,LGO,Langeoog,53.73333,7.48333,,Germany
95674123,LGP,Legaspi,13.156944,123.730278,,Philippines
128667964,LGQ,Lago Agrio,0.1,-76.883333,,Ecuador
129057092,LGR,Cochrane,-47.166667,-72.0,,Chile
129053215,LGS,Malargue,-35.5,-69.583333,,Argentina
129054388,LGT,Las Gaviotas,9.166667,-74.5,,Colombia
129055140,LGU,Logan,41.7875,-111.855,,United States
95565051,LGW,London Gatwick,51.148056,-0.196667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",United Kingdom
129053603,LGX,Lugh Ganane,3.8,42.05,,Somalia
129056237,LGY,Lagunillas,8.516667,-71.4,,Venezuela
216766162,LGZ,Shannan Longzi,28.42833827658389,92.3450613,,China
129056997,LHA,Lahr,48.36667,7.81667,,Germany
129052200,LHB,Lost Harbor,54.233333,-165.6,,United States
